gene_label,ct_label,as_label,avg_mean_gene_expr,as,ct,gene
ARHGAP26,neutrophil,kidney interstitium,1.803245,http://purl.obolibrary.org/obo/UBERON_0005215,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/17073
ARHGAP26,neutrophil,renal column,1.803245,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/17073
ARHGAP26,neutrophil,outer cortex of kidney,1.803245,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_0000775,http://identifiers.org/hgnc/17073
ARL15,endothelial cell,endothelium,2.679484,http://purl.obolibrary.org/obo/UBERON_0001986,http://purl.obolibrary.org/obo/CL_0000115,http://identifiers.org/hgnc/25945
ASAP1,endothelial cell,endothelium,1.95463,http://purl.obolibrary.org/obo/UBERON_0001986,http://purl.obolibrary.org/obo/CL_0000115,http://identifiers.org/hgnc/2720
ATP1B1,kidney connecting tubule epithelial cell,renal papilla,1.984922,http://purl.obolibrary.org/obo/UBERON_0001228,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/804
ATP1B1,kidney connecting tubule epithelial cell,kidney capsule,1.984922,http://purl.obolibrary.org/obo/UBERON_0002015,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/804
ATP1B1,kidney connecting tubule epithelial cell,kidney,1.984922,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/804
ATP1B1,kidney connecting tubule epithelial cell,kidney pyramid,1.984922,http://purl.obolibrary.org/obo/UBERON_0004200,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/804
ATP1B1,kidney connecting tubule epithelial cell,renal column,1.984922,http://purl.obolibrary.org/obo/UBERON_0001284,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/804
ATP1B1,kidney connecting tubule epithelial cell,outer cortex of kidney,1.984922,http://purl.obolibrary.org/obo/UBERON_0002189,http://purl.obolibrary.org/obo/CL_1000768,http://identifiers.org/hgnc/804
