asctb_table,record_number,as_label,as,cell_label,cell_id,matched_genes,matched_gene_count,gene_symbols,hgnc_ids,references
blood-vasculature,1704,Anterior superior segmental renal artery,http://purl.org/sig/ont/fma/fma70500,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Renal_circulation
blood-vasculature,1708,Inferior segmental renal artery,http://purl.org/sig/ont/fma/fma70502,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Renal_circulation
blood-vasculature,1716,Posterior segmental renal artery,http://purl.org/sig/ont/fma/fma70503,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Renal_circulation
blood-vasculature,2568,main cochlear artery,https://purl.org/ccf/ASCTB-TEMP_main-cochlear-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.vestib.com/arterial-supply.html
blood-vasculature,2572,posterior vestibular artery,https://purl.org/ccf/ASCTB-TEMP_posterior-vestibular-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.vestib.com/arterial-supply.html
blood-vasculature,3242,deep facial vein,http://purl.obolibrary.org/obo/UBERON_0035659,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Deep_facial_vein
blood-vasculature,3250,parotid vein,http://purl.obolibrary.org/obo/UBERON_0035662,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1002/cphy.cp060142
blood-vasculature,3264,tributary of central retinal vein,http://purl.obolibrary.org/obo/UBERON_0036300,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,http://purl.obolibrary.org/obo/UBERON_0036300
blood-vasculature,3248,mental vein,http://purl.obolibrary.org/obo/UBERON_8600068,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.17354/ijss/2016/337
blood-vasculature,3240,transverse nasal root vein,http://purl.obolibrary.org/obo/UBERON_8600089,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://plasticsurgerykey.com/veins-of-the-face-and-neck/
blood-vasculature,3266,hypophyseal vein,http://purl.obolibrary.org/obo/UBERON_8600090,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.kenhub.com/en/library/anatomy/the-cavernous-sinus
blood-vasculature,327,Anterior superior alveolar artery,http://purl.org/sig/ont/fma/fma49771,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_superior_alveolar_arteries
blood-vasculature,3279,Ethmoidal vein,http://purl.org/sig/ont/fma/fma51770,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Ethmoidal_veins
blood-vasculature,3277,Anterior ciliary vein,http://purl.org/sig/ont/fma/fma51798,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.imaios.com/en/e-Anatomy/Anatomical-Parts/Anterior-ciliary-veins
blood-vasculature,3246,inferior labial gland venule,https://purl.org/ccf/ASCTB-TEMP_inferior-labial-gland-venule,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Inferior_labial_vein
blood-vasculature,3274,sphenopalatine sinus,https://purl.org/ccf/ASCTB-TEMP_sphenopalatine-sinus,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://teachmeanatomy.info/neuroanatomy/vessels/venous-drainage/
blood-vasculature,3256,superior labial gland venule,https://purl.org/ccf/ASCTB-TEMP_superior-labial-gland-venule,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Superior_labial_vein
blood-vasculature,1628,superior suprarenal artery,http://purl.obolibrary.org/obo/UBERON_0001198,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Superior_suprarenal_artery
blood-vasculature,163,artery of upper lip,http://purl.obolibrary.org/obo/UBERON_0003470,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Superior_labial_artery
blood-vasculature,1624,inferior phrenic artery,http://purl.obolibrary.org/obo/UBERON_0012255,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Inferior_phrenic_arteries
blood-vasculature,1620,superior rectal artery,http://purl.obolibrary.org/obo/UBERON_0035040,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Superior_rectal_artery
blood-vasculature,1616,sigmoid artery,http://purl.obolibrary.org/obo/UBERON_0035180,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Sigmoid_arteries
blood-vasculature,1632,left common iliac artery,http://purl.obolibrary.org/obo/UBERON_0035529,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Abdominal_aorta
blood-vasculature,1640,Left first lumbar artery,http://purl.org/sig/ont/fma/fma14742,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Lumbar_arteries
blood-vasculature,1644,Left second lumbar artery,http://purl.org/sig/ont/fma/fma14743,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Lumbar_arteries
blood-vasculature,1636,Left inferior phrenic artery,http://purl.org/sig/ont/fma/fma14747,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Inferior_phrenic_arteries
blood-vasculature,1612,Descending branch of left colic artery,http://purl.org/sig/ont/fma/fma14829,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Left_colic_artery
blood-vasculature,715,posterior communicating artery,http://purl.obolibrary.org/obo/UBERON_0001628,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Posterior_communicating_artery
blood-vasculature,705,capillary layer of choroid,http://purl.obolibrary.org/obo/UBERON_0005336,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Choroid
blood-vasculature,711,frontal artery,http://purl.obolibrary.org/obo/UBERON_0012187,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Supratrochlear_artery
blood-vasculature,707,supraorbital artery,http://purl.obolibrary.org/obo/UBERON_0015160,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Supraorbital_artery
blood-vasculature,719,superior hypophysial artery,http://purl.obolibrary.org/obo/UBERON_0035404,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Superior_hypophysial_artery
blood-vasculature,727,Hypophysial long portal vein,http://purl.org/sig/ont/fma/fma0327575,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://basicmedicalkey.com/endocrine-system-3/
blood-vasculature,1942,Left subcostal artery,http://purl.org/sig/ont/fma/fma4654,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Subcostal_arteries
blood-vasculature,1938,Left second superior phrenic artery,http://purl.org/sig/ont/fma/fma4173,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Superior_phrenic_arteries
blood-vasculature,701,Set of short posterior ciliary arteries,http://purl.org/sig/ont/fma/fma70777,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Short_posterior_ciliary_arteries
blood-vasculature,723,external primary capillary plexus of median eminence,https://purl.org/ccf/ASCTB-TEMP_external-primary-capillary-plexus-of-median-eminence,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://basicmedicalkey.com/endocrine-system-3/
blood-vasculature,725,internal primary capillary plexus of median eminence,https://purl.org/ccf/ASCTB-TEMP_internal-primary-capillary-plexus-of-median-eminence,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://basicmedicalkey.com/endocrine-system-3/
blood-vasculature,2234,common palmar digital artery,http://purl.obolibrary.org/obo/UBERON_0001410,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Common_palmar_digital_arteries
blood-vasculature,3367,internal thoracic vein,http://purl.obolibrary.org/obo/UBERON_0001589,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Internal_thoracic_vein
blood-vasculature,2230,superficial palmar arch,http://purl.obolibrary.org/obo/UBERON_0006564,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Superficial_palmar_arch
blood-vasculature,2238,proper palmar digital artery,http://purl.obolibrary.org/obo/UBERON_0006137,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Proper_palmar_digital_arteries
blood-vasculature,3369,anterior intercostal vein,http://purl.obolibrary.org/obo/UBERON_0012200,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Anterior_intercostal_veins
blood-vasculature,3363,glandular venous plexus,http://purl.obolibrary.org/obo/UBERON_8600072,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.anatomy.net/superior-thyroid-vein
blood-vasculature,3365,Superior laryngeal vein,http://purl.org/sig/ont/fma/fma14324,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://teachmeanatomy.info/neck/viscera/larynx/organ/
blood-vasculature,3375,Third anterior intercostal vein,http://purl.org/sig/ont/fma/fma4739,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/venous-drainage-of-the-thoracic-wall
blood-vasculature,3373,Second anterior intercostal vein,http://purl.org/sig/ont/fma/fma4740,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/venous-drainage-of-the-thoracic-wall
blood-vasculature,3371,First anterior intercostal vein,http://purl.org/sig/ont/fma/fma4741,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/venous-drainage-of-the-thoracic-wall
blood-vasculature,3361,superior thyroid vein,http://purl.obolibrary.org/obo/UBERON_0007157,blood vessel endothelial cell,CL:0000071,TIE1,1,CDH5; PECAM1; TEK; TIE1,HGNC:1764; HGNC:8823; HGNC:11724; HGNC:11809,https://en.wikipedia.org/wiki/Superior_thyroid_vein
blood-vasculature,3355,Superior petrosal vein,http://purl.org/sig/ont/fma/fma51350,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/superior-petrosal-vein-2
blood-vasculature,3329,inferior striate vein,https://purl.org/ccf/ASCTB-TEMP_inferior-striate-vein,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.kenhub.com/en/library/anatomy/veins-of-the-brain
blood-vasculature,3469,vertebral vein,http://purl.obolibrary.org/obo/UBERON_0001588,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Vertebral_vein
blood-vasculature,3495,thymic vein,http://purl.obolibrary.org/obo/UBERON_0001591,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Thymic_veins
blood-vasculature,3489,left superior intercostal vein,http://purl.obolibrary.org/obo/UBERON_0012195,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Superior_intercostal_vein
blood-vasculature,347,posterior superior alveolar artery,http://purl.obolibrary.org/obo/UBERON_0018397,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Posterior_superior_alveolar_artery
blood-vasculature,3467,supreme intercostal vein,http://purl.obolibrary.org/obo/UBERON_8600054,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Supreme_intercostal_vein
blood-vasculature,3477,deep cervical vein,http://purl.obolibrary.org/obo/UBERON_8600059,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Deep_cervical_vein
blood-vasculature,3479,suboccipital venous plexus,http://purl.obolibrary.org/obo/UBERON_8600076,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1227/01.neu.0000303217.53607.d9
blood-vasculature,3473,Anterior external vertebral venous plexus,http://purl.org/sig/ont/fma/fma10787,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/External_vertebral_venous_plexuses
blood-vasculature,3483,Intervertebral vein,http://purl.org/sig/ont/fma/fma76736,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://radiopaedia.org/articles/vertebral-venous-plexus-1
blood-vasculature,3485,Posterior external vertebral venous plexus,http://purl.org/sig/ont/fma/fma12852,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/External_vertebral_venous_plexuses
blood-vasculature,3471,Accessory vertebral vein,http://purl.org/sig/ont/fma/fma14290,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.imaios.com/en/e-Anatomy/Anatomical-Parts/Accessory-vertebral-vein
blood-vasculature,3475,Anterior vertebral vein,http://purl.org/sig/ont/fma/fma14296,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.imaios.com/en/e-Anatomy/Anatomical-Parts/Anterior-vertebral-vein
blood-vasculature,3499,Right brachiocephalic vein,http://purl.org/sig/ont/fma/fma4751,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Brachiocephalic_vein
blood-vasculature,3487,Left brachiocephalic vein,http://purl.org/sig/ont/fma/fma4761,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Brachiocephalic_vein
blood-vasculature,167,superior labial gland arteriole,https://purl.org/ccf/ASCTB-TEMP_superior-labial-gland-arteriole,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Superior_labial_artery
blood-vasculature,2218,median artery,http://purl.obolibrary.org/obo/UBERON_0002249,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.1016/B978-0-12-803062-2.00002-4
blood-vasculature,221,accessory meningeal artery,http://purl.obolibrary.org/obo/UBERON_8600099,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Accessory_meningeal_artery
blood-vasculature,2210,Dorsal carpal branch of radial artery,http://purl.org/sig/ont/fma/fma22755,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Dorsal_carpal_arch
blood-vasculature,2222,Palmar carpal branch of ulnar artery,http://purl.org/sig/ont/fma/fma22817,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Palmar_carpal_branch_of_ulnar_artery
blood-vasculature,2206,Dorsal carpal branch of ulnar artery,http://purl.org/sig/ont/fma/fma22820,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Dorsal_carpal_branch_of_the_ulnar_artery
blood-vasculature,938,Pancreatic artery,http://purl.org/sig/ont/fma/fma70471,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Dorsal_pancreatic_artery
blood-vasculature,2226,Posterior ulnar recurrent artery,http://purl.org/sig/ont/fma/fma22803,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Posterior_ulnar_recurrent_artery
blood-vasculature,93,inferior pharyngeal artery,https://purl.org/ccf/ASCTB-TEMP_inferior-pharyngeal-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,PMID:12169487
blood-vasculature,942,interlobular artery of pancreas,https://purl.org/ccf/ASCTB-TEMP_interlobular-artery-of-pancreas,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://www.flandershealth.us/chronic-pancreatitis/microcirculation-of-the-pancreas.html
blood-vasculature,3554,Superior lingular artery,http://purl.org/sig/ont/fma/fma8639,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3550,Inferior lingular artery,http://purl.org/sig/ont/fma/fma8640,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3542,Left posterior basal segmental artery,http://purl.org/sig/ont/fma/fma8647,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,355,alveolar mucosa capillary,https://purl.org/ccf/ASCTB-TEMP_alveolar-mucosa-capillary,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://en.wikipedia.org/wiki/Posterior_superior_alveolar_artery
blood-vasculature,3546,lingular artery of left lung,https://purl.org/ccf/ASCTB-TEMP_lingular-artery-of-left-lung,blood vessel endothelial cell,CL:0000071,TIE1,1,TEK; TIE1; CDH5; PECAM1,HGNC:11724; HGNC:11809; HGNC:1764; HGNC:8823,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3534,Left lateral basal segmental artery,http://purl.org/sig/ont/fma/fma8646,blood vessel endothelial cell,CL:0000071,TIE1,1,CDH5; PECAM1; TEK; TIE1,HGNC:1764; HGNC:8823; HGNC:11724; HGNC:11809,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3522,Interlobar portion of left pulmonary artery,http://purl.org/sig/ont/fma/fma9284,blood vessel endothelial cell,CL:0000071,TIE1,1,CDH5; PECAM1; TEK; TIE1,HGNC:1764; HGNC:8823; HGNC:11724; HGNC:11809,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,351,alveolar mucosa arteriole,https://purl.org/ccf/ASCTB-TEMP_alveolar-mucosa-arteriole,blood vessel endothelial cell,CL:0000071,TIE1,1,CDH5; PECAM1; TEK; TIE1,HGNC:1764; HGNC:8823; HGNC:11724; HGNC:11809,https://en.wikipedia.org/wiki/Posterior_superior_alveolar_artery
blood-vasculature,3510,apicoanterior trunk of left pulmonary artery,https://purl.org/ccf/ASCTB-TEMP_apicoanterior-trunk-of-left-pulmonary-artery,blood vessel endothelial cell,CL:0000071,TIE1,1,CDH5; PECAM1; TEK; TIE1,HGNC:1764; HGNC:8823; HGNC:11724; HGNC:11809,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3506,left pulmonary artery,http://purl.obolibrary.org/obo/UBERON_0001652,blood vessel endothelial cell,CL:0000071,TIE1,1,PECAM1; TEK; TIE1; CDH5,HGNC:8823; HGNC:11724; HGNC:11809; HGNC:1764,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3502,pulmonary trunk,http://purl.obolibrary.org/obo/UBERON_0002333,blood vessel endothelial cell,CL:0000071,TIE1,1,PECAM1; TEK; TIE1; CDH5,HGNC:8823; HGNC:11724; HGNC:11809; HGNC:1764,https://en.wikipedia.org/wiki/Pulmonary_artery
blood-vasculature,3514,Left anterior segmental artery,http://purl.org/sig/ont/fma/fma13279,blood vessel endothelial cell,CL:0000071,TIE1,1,PECAM1; TEK; TIE1; CDH5,HGNC:8823; HGNC:11724; HGNC:11809; HGNC:1764,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3518,Apicoposterior segmental artery,http://purl.org/sig/ont/fma/fma13281,blood vessel endothelial cell,CL:0000071,TIE1,1,PECAM1; TEK; TIE1; CDH5,HGNC:8823; HGNC:11724; HGNC:11809; HGNC:1764,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3526,Trunk of left basal segmental artery,http://purl.org/sig/ont/fma/fma68848,blood vessel endothelial cell,CL:0000071,TIE1,1,PECAM1; TEK; TIE1; CDH5,HGNC:8823; HGNC:11724; HGNC:11809; HGNC:1764,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3538,Left medial basal segmental artery,http://purl.org/sig/ont/fma/fma8644,blood vessel endothelial cell,CL:0000071,TIE1,1,PECAM1; TEK; TIE1; CDH5,HGNC:8823; HGNC:11724; HGNC:11809; HGNC:1764,https://doi.org/10.21037/cdt.2018.01.04
blood-vasculature,3530,Left anterior basal segmental artery,http://purl.org/sig/ont/fma/fma8645,blood vessel endothelial cell,CL:0000071,TIE1,1,PECAM1; TEK; TIE1; CDH5,HGNC:8823; HGNC:11724; HGNC:11809; HGNC:1764,https://doi.org/10.21037/cdt.2018.01.04
