leiden_sub,cell_id,cell_label,evidence,table,table_count,references,shared_markers,asctb_markers
"3,0",CL:0009108,lymphatic endothelial cell of subcapsular sinus floor,1,lymph-node,1,https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052,LYVE1,LYZ; ICAM1; CD274; CD9; ACKR4; MARCO; CXCL5; MFAP4; NT5E; CXCL1; PECAM1; PTPRC; THY1; PDPN; CCL20; PROX1; TNFRSF9; LYVE1; ACKR1; CLDN11; CAV1
"3,0",CL:0000872,splenic marginal zone macrophage,1,spleen,1,https://doi.org/10.1111/imm.12469; https://doi.org/10.1186/s13059-019-1906-x,CD163,APOE; CD68; CD5L; CD163
"3,0",CL:0009110,lymphatic endothelial cell of medulla ceiling,1,lymph-node,1,https://doi.org/10.1016/j.immuni.2019.06.027; https://doi.org/10.3389/fcvm.2020.00052,LYVE1,NT5E; MFAP4; MARCO; PTPRC; PROX1; PDPN; ACKR4; CAV1; PECAM1; CLDN11; LYVE1; TNFRSF9
"3,0",CL:0000876,splenic white pulp macrophage,1,spleen,1,https://doi.org/10.1111/imm.12469; https://doi.org/10.1186/s13059-019-1906-x,CD163,APOE; CD68; CD5L; CD163
"3,0",ASCTB-TEMP:splenic-littoral-cell,Splenic Littoral Cell,1,spleen,1,https://doi.org/10.4049/jimmunol.1103086; https://doi.org/10.1182/blood.V126.23.3594.3594; https://doi.org/10.1182/bloodadvances.2017015073,MRC1,PTPRC; ACKR1; MRC1; SIRPA; CR2; FHOD1; CD8A; PECAM1; CD3E; CD34; CD14; VWF
"3,0",CL:0009086,endothelial cell of respiratory system lymphatic vessel,1,lung,1,https://doi.org/10.1148/93.3.507; https://doi.org/10.1136/thx.13.2.110,LYVE1,PROX1; PECAM1; ECSCR; MMRN1; CLDN5; LYVE1; CCL21
"3,0",CL:0000636,Mueller cell,1,eye,1,https://doi.org/10.1155/2007/39245; https://doi.org/10.1016/j.ophtha.2017.09.016,SLC1A3,GFAP; CRYM; CLU; CRABP1; SLC1A3; GLUL; DKK3; APOE; RLBP1
"3,0",CL:0002399,CD1c-positive myeloid dendritic cell,1,blood-pelvis,1,https://doi.org/10.1002/cyto.a.23724,CD163,NCAM1; ITGAX; IL3RA; S100A9; S100A8; CD3E; HLA-DRA; CD19; FCGR3A; CD14; CD1C; CD36; THBD; FCER1A; CD163; CLEC10A
"3,0",CL:0002038,T follicular helper cell,1,lymph-node,1,https://doi.org/10.1097/01.pas.0000209855.28282.ce; https://doi.org/10.1016/j.immuni.2013.08.031,MAF,ICOS; CD69; CD4; MAF; B3GAT1; CD3G; PDCD1; CD3D; CD40LG; CXCR5
"3,0",CL:0000540,neuron,1,spinal-cord,1,https://doi.org/10.1016/j.neuron.2023.01.007,MAF,MAF; GABRB2; MAFA
