leiden_sub,hra_pop_gene_expr_1,hra_pop_gene_expr_2,hra_pop_gene_expr_3,hra_pop_gene_expr_4,hra_pop_gene_expr_5
"4,0",smooth muscle cell (CL:0000192)[1075 bg][234 ds],vascular associated smooth muscle cell (CL:0000359)[712 bg][205 ds],myofibroblast cell (CL:0000186)[678 bg][157 ds],pigmented ciliary epithelial cell (CL:0002303)[186 bg][53 ds],erythrocyte (CL:0000232)[164 bg][40 ds]
"4,1",vascular associated smooth muscle cell (CL:0000359)[16377 bg][3260 ds],"naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[12357 bg][2907 ds]","CD4-positive, alpha-beta memory T cell (CL:0000897)[8806 bg][2112 ds]",smooth muscle cell (CL:0000192)[6753 bg][1082 ds],"naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[5440 bg][1326 ds]"
"4,2",pericyte (CL:0000669)[24663 bg][3808 ds],erythroid lineage cell (CL:0000764)[2166 bg][722 ds],plasma cell (CL:0000786)[1977 bg][640 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[1208 bg][350 ds],vascular associated smooth muscle cell (CL:0000359)[1171 bg][315 ds]
"5,0",fibroblast (CL:0000057)[13121 bg][1548 ds],plasma cell (CL:0000786)[5970 bg][1306 ds],erythroid lineage cell (CL:0000764)[5102 bg][1053 ds],CD1c-positive myeloid dendritic cell (CL:0002399)[4647 bg][962 ds],basal cell (CL:0000646)[1931 bg][425 ds]
"5,1","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[76669 bg][7709 ds]","naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[51106 bg][6299 ds]","CD4-positive, alpha-beta memory T cell (CL:0000897)[41980 bg][5558 ds]","CD8-positive, alpha-beta memory T cell (CL:0000909)[13357 bg][2714 ds]",hematopoietic stem cell (CL:0000037)[7360 bg][1531 ds]
"5,2",fibroblast (CL:0000057)[599 bg][188 ds],myofibroblast cell (CL:0000186)[586 bg][168 ds],alveolar type 1 fibroblast cell (CL:4028004)[213 bg][55 ds],mesenchymal cell (CL:0008019)[203 bg][65 ds],pericyte (CL:0000669)[190 bg][61 ds]
"6,0","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[46891 bg][6820 ds]","naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[34937 bg][5622 ds]","CD4-positive, alpha-beta memory T cell (CL:0000897)[26623 bg][4520 ds]","CD8-positive, alpha-beta memory T cell (CL:0000909)[9738 bg][2340 ds]",memory B cell (CL:0000787)[6812 bg][1497 ds]
"6,1",cholangiocyte (CL:1000488)[338 bg][98 ds],pancreatic PP cell (CL:0002275)[253 bg][66 ds],endothelial cell (CL:0000115)[214 bg][69 ds],endothelial cell of artery (CL:1000413)[150 bg][46 ds],fibroblast (CL:0000057)[130 bg][40 ds]
"6,2","CD16-positive, CD56-dim natural killer cell, human (CL:0000939)[57107 bg][12673 ds]",mature NK T cell (CL:0000814)[40889 bg][9290 ds],natural killer cell (CL:0000623)[39130 bg][8390 ds],"CD16-negative, CD56-bright natural killer cell, human (CL:0000938)[38070 bg][7933 ds]",type I NK T cell (CL:0000921)[16338 bg][4513 ds]
"6,3","CD4-positive, alpha-beta memory T cell (CL:0000897)[9878 bg][2332 ds]",granzyme K-associated CD8 T cell (CL:4052021)[9224 bg][2359 ds],"CD8-positive, alpha-beta memory T cell (CL:0000909)[8546 bg][2191 ds]","naive thymus-derived CD4-positive, alpha-beta T cell (CL:0000895)[8169 bg][1908 ds]","CD8-positive, alpha-beta T cell (CL:0000625)[7434 bg][1491 ds]"
