leiden_sub,asctb_1,asctb_2,asctb_3,asctb_4,asctb_5,asctb_refs_1,asctb_refs_2,asctb_refs_3,asctb_refs_4,asctb_refs_5
"21,0",Splat_424 neuron (Hsap) (PCL:0051425)[1 bg][allen-brain],CBI_301 cerebellar inhibitory GABAergic interneuron (Hsap) (PCL:0051302)[1 bg][allen-brain],Misc_177 neuron (Hsap) (PCL:0051178)[1 bg][allen-brain],Misc_176 neuron (Hsap) (PCL:0051177)[1 bg][allen-brain],Exc L5 FEZF2 PKD2L1 primary motor cortex glutamatergic neuron (Hsap) (PCL:0015113)[1 bg][allen-brain],https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898
"21,1",Inh L5-6 PVALB ZFPM2-AS1 primary motor cortex GABAergic interneuron (Hsap) (PCL:0015060)[1 bg][allen-brain],Splat_422 neuron (Hsap) (PCL:0051423)[1 bg][allen-brain],Splat_368 neuron (Hsap) (PCL:0051369)[1 bg][allen-brain],Splat_366 neuron (Hsap) (PCL:0051367)[1 bg][allen-brain],Splat_415 neuron (Hsap) (PCL:0051416)[1 bg][allen-brain],https://doi.org/10.1038/s41586-021-03465-8,https://doi.org/10.1038/s41586-021-03465-8,https://doi.org/10.1038/s41586-021-03465-8,https://doi.org/10.1038/s41586-021-03465-8,https://doi.org/10.1038/s41586-021-03465-8
"3,0",macrophage (CL:0000235)[78 bg][large-intestine; lymph-node; fallopian-tube; skin],endothelial cell of lymphatic vessel (CL:0002138)[34 bg][large-intestine; skin; spleen; thymus; lymph-node],thymic macrophage (CL:0000866)[9 bg][thymus],Hofbauer cell (CL:3000001)[5 bg][placenta],"plasmacytoid dendritic cell, human (CL:0001058)[3 bg][spleen]",https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978
"3,1",lymphocyte of large intestine lamina propria (CL:0009018)[33 bg][large-intestine],dendritic cell (CL:0000451)[30 bg][large-intestine; lymph-node; fallopian-tube],"plasmacytoid dendritic cell, human (CL:0001058)[6 bg][spleen; blood-pelvis; bone-marrow; lymph-node]",CD1c-positive myeloid dendritic cell (CL:0002399)[5 bg][blood-pelvis; spleen; lymph-node],conventional dendritic cell (CL:0000990)[4 bg][kidney; bone-marrow; spleen],https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001,https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1016/j.immuni.2020.02.001
"3,2",macrophage (CL:0000235)[42 bg][skin; lymph-node; fallopian-tube; large-intestine],Hofbauer cell (CL:3000001)[5 bg][placenta],thymic macrophage (CL:0000866)[3 bg][thymus],splenic red pulp macrophage (CL:0000874)[2 bg][spleen],"CD14-positive, CD16-low monocyte (CL:0001055)[2 bg][spleen]",https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1136/ard.2003.013029; https://doi.org/10.1016/j.actatropica.2016.01.008; https://doi.org/10.1038/labinvest.2016.116; https://doi.org/10.1038/jid.2010.165; https://doi.org/10.1097/01.pas.0000157940.80538.ec; https://doi.org/10.1053/j.semdp.2017.11.002; https://doi.org/10.1007/978-1-4939-0897-4_3; https://doi.org/10.1182/blood-2008-06-165266; https://doi.org/10.1016/j.immuni.2020.02.001; https://doi.org/10.1016/j.celrep.2021.108978
"3,3",fibroblast (CL:0000057)[5 bg][fallopian-tube],neuron (CL:0000540)[5 bg][spinal-cord],lung pericyte (CL:0009089)[3 bg][lung],alveolar adventitial fibroblast (CL:4028006)[3 bg][lung],alveolar type 1 fibroblast cell (CL:4028004)[3 bg][lung],https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978,https://doi.org/10.1016/j.celrep.2021.108978
"3,4",blood vessel endothelial cell (CL:0000071)[60 bg][lymph-node],macrophage (CL:0000235)[38 bg][lymph-node; large-intestine],dendritic cell (CL:0000451)[28 bg][lymph-node; large-intestine],naive B cell (CL:0000788)[6 bg][lymph-node; thymus],B cell (CL:0000236)[6 bg][lymph-node; placenta; kidney],https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005,https://doi.org/10.1007/s00441-008-0706-5; https://doi.org/10.1038/nri32982012.; https://doi.org/10.1371/journal.pone.0094781; https://doi.org/10.1369/jhc.4A6514.2005
"3,5",CA4_194 hippocampal CA4 neuron (Hsap) (PCL:0051195)[1 bg][allen-brain],"","","","",https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898
"3,6",lymphocyte (ASCTB-TEMP:lymphocyte)[18 bg][uterus],"CD8-positive, alpha-beta memory T cell (CL:0000909)[5 bg][spleen; lymph-node]","naive thymus-derived CD8-positive, alpha-beta T cell (CL:0000900)[4 bg][spleen; lymph-node]",endothelial cell of lymphatic vessel (CL:0002138)[4 bg][lymph-node],CD8-alpha-negative thymic conventional dendritic cell (CL:0002460)[4 bg][thymus],https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073
"3,7",intestinal crypt stem cell of large intestine (CL:0009016)[11 bg][large-intestine],monocyte (CL:0000576)[8 bg][thymus; fallopian-tube],fibroblast of villous mesenchyme (CL:0002558)[8 bg][placenta],dendritic cell (CL:0000451)[5 bg][fallopian-tube],peg cell (CL:4033014)[5 bg][fallopian-tube],https://doi.org/10.1038/nature06196,https://doi.org/10.1038/nature06196,https://doi.org/10.1038/nature06196,https://doi.org/10.1038/nature06196,https://doi.org/10.1038/nature06196
"3,8",Misc_116 cerebral cortex neuron (Hsap) (PCL:0051117)[1 bg][allen-brain],Splat_382 neuron (Hsap) (PCL:0051383)[1 bg][allen-brain],Thex_372 thalamic excitatory neuron (Hsap) (PCL:0051373)[1 bg][allen-brain],CA4_192 hippocampal CA4 neuron (Hsap) (PCL:0051193)[1 bg][allen-brain],Mgl_7 microglial cell (Hsap) (PCL:0051008)[1 bg][allen-brain],https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898,https://doi.org/10.1101/2022.10.12.511898
"4,0",uterine smooth muscle type II cell (ASCTB-TEMP:uterine-smooth-muscle-type-ii-cell)[72 bg][uterus],perivascular support cell (ASCTB-TEMP:perivascular-support-cell)[18 bg][uterus],neuron (CL:0000540)[2 bg][spinal-cord],bronchiolar smooth muscle cell (CL:4033017)[2 bg][lung],MSN_219 direct pathway medium spiny neuron (Hsap) (PCL:0051220)[1 bg][allen-brain],https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073,https://doi.org/10.1101/2021.01.02.425073
